scaleFactor,minNeighbors,avgDistance
1.21,10,8.27719213425949
1.22,1,23.39729503739432
1.22,2,22.357304198392416
1.22,3,22.357304198392416
1.22,4,8.448970590592994
1.22,5,6.256635388771114
1.22,6,6.256635388771114
1.22,7,6.256635388771114
1.22,8,6.256635388771114
1.22,9,6.256635388771114
1.22,10,6.256635388771114
1.23,1,10.012479618531703
1.23,2,12.880950605872451
1.23,3,7.1910136268334215
1.23,4,7.1910136268334215
1.23,5,7.675859234341177
1.23,6,8.405941952457768
1.23,7,6.675992657116717
1.23,8,6.675992657116717
1.23,9,6.675992657116717
1.23,10,6.675992657116717
1.24,1,21.253535951423324
1.24,2,9.942005131165798
1.24,3,6.190689569416156
1.24,4,6.190689569416156
1.24,5,6.145038126809409
1.24,6,7.401275117187789
1.24,7,7.401275117187789
1.24,8,7.401275117187789
1.24,9,7.401275117187789
1.24,10,7.401275117187789
1.25,1,33.48115626363056
1.25,2,14.652732632247083
1.25,3,7.004566566422222
1.25,4,7.004566566422222
1.25,5,7.004566566422222
1.25,6,7.485308326065497
1.25,7,7.485308326065497
1.25,8,7.485308326065497
1.25,9,7.485308326065497
1.25,10,7.485308326065497
1.26,1,30.064541717099036
1.26,2,7.012979858136033
1.26,3,5.89671974398169
1.26,4,5.89671974398169
1.26,5,5.89671974398169
1.26,6,5.89671974398169
1.26,7,5.425888809696199
1.26,8,5.425888809696199
1.26,9,5.425888809696199
1.26,10,5.425888809696199
1.27,1,21.900729085032882
1.27,2,12.778530398952867
1.27,3,12.778530398952867
1.27,4,13.32497700835959
1.27,5,13.32497700835959
1.27,6,13.32497700835959
1.27,7,13.32497700835959
1.27,8,7.1318440504058955
1.27,9,7.870040651530905
1.27,10,7.870040651530905
1.28,1,36.8662568711513
1.28,2,14.115087068871881
1.28,3,14.886262507744807
1.28,4,6.501320276401676
1.28,5,6.501320276401676
1.28,6,6.501320276401676
1.28,7,6.501320276401676
1.28,8,6.501320276401676
1.28,9,6.501320276401676
1.28,10,6.501320276401676
1.29,1,17.790398536186498
1.29,2,18.669687858067842
1.29,3,10.702628799922357
1.29,4,6.856526877195921
1.29,5,7.312243818958694
1.29,6,7.312243818958694
1.29,7,7.312243818958694
1.29,8,6.582465185008037
1.29,9,6.582465185008037
1.29,10,6.582465185008037
1.3,1,25.274261804293864
1.3,2,25.883768703204385
1.3,3,24.966104279903032
1.3,4,7.446705973303992
1.3,5,7.446705973303992
1.3,6,7.446705973303992
1.3,7,7.446705973303992
1.3,8,7.416397188319502
1.3,9,7.416397188319502
1.3,10,8.078005741537885
